chan_int_num,lambda_ft,omega_ftsec,meanMigrationRate_ftsec,holdThr_ftsec,constProbOrient,slopeProbOrient,pPersistence,daytimeSwimProb,stdMigrationRate_ftsec,pSystem,holdProb
91,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
92,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
93,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
94,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
95,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
96,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
97,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
98,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
99,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
100,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
101,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
102,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
103,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
104,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
105,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
106,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
107,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
108,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
109,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
110,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
111,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
112,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
113,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
114,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
115,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
116,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
117,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
118,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
119,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
120,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
121,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
122,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
123,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
124,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
125,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
126,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
127,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
128,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
129,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
130,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
131,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
132,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
133,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
134,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
135,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
136,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
137,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
138,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
139,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
140,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
141,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
142,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
143,2468832.025,0,1.07848692,3.754275511,-0.553883903,8.558385245,0.714137914,0.677406803,1.430060177,0.407944008,0.316704446
