Position,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18,theta19,theta20,theta21,theta22,theta23,theta24,theta25,theta26,theta27,theta28,theta29,theta30,theta31,theta32,theta33,theta34,theta35,theta36,theta37,theta38,theta39,theta40,theta41,theta42,theta43,theta44,theta45,theta46,theta47,theta48,theta49,theta50,theta51,theta52,theta53,theta54,theta55,theta56,theta57,theta58,theta59,theta60,theta61,theta62,theta63,theta64,theta65
0.325,0.000204351476505421,0.000276687670825569,0.000384393263191537,0.000480182273834248,0.000580167496421368,0.000690299044469022,0.000810089216088262,0.000927887196143703,0.00106180179126182,0.00119119801349035,0.00131937294982427,0.00143591124790799,0.00152049778205445,0.00154216250378821,0.00147079847534649,0.00124050652746489,0.000805084435275737,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769567946843207,0.000769573814420655
0.327,0.000205590660045198,0.000278126273981604,0.000385679658173078,0.000481539073188945,0.000581580309875347,0.000691689105815697,0.00081135162264155,0.000928908731039525,0.00106230809281056,0.00119086155538123,0.00131769208727104,0.00143221367201232,0.00151390798098434,0.00153158725409435,0.00145505785026023,0.00121847156742848,0.000776542707619272,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740616580797588,0.000740622232387329
0.329,0.000206827716539884,0.000279558670760813,0.000386964374687552,0.000482891289672069,0.000582984129002909,0.000693064504373808,0.000812591590019623,0.000929896453092117,0.00106276580685952,0.00119045652847881,0.00131591753746165,0.0014283925324766,0.00150716190402163,0.00152082493852021,0.00143911029427359,0.001196234350285,0.000747841470821446,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711509986137689,0.000711515424924009
0.331,0.000208062617097177,0.000280984891597686,0.000388247198197055,0.000484238650092402,0.000584378620029431,0.000694424809009892,0.000813808551525183,0.000930849623017926,0.00106317398509754,0.00118998176404852,0.00131404793397752,0.00142444635054416,0.00150025813899886,0.00150987450863185,0.00142295552146866,0.00117379577944488,0.000718982971872608,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682250493423963,0.000682255722733035
0.333,0.000209295328003675,0.000282404959699295,0.000389527910839439,0.000485580877763808,0.000585763443957791,0.000695769581231936,0.000815001930713443,0.000931767489539326,0.00106353166575356,0.00118943607986983,0.00131208189927692,0.00142037364214418,0.0014931952783928,0.00149873493426439,0.00140659327848456,0.00115115679951543,0.000689969493725998,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652840468235286,0.000652845491534102
0.335,0.000210525810765213,0.000283818891051721,0.000390806291437149,0.000486917692420146,0.000587138256430243,0.000697098375018808,0.000816171141209029,0.000932649289220756,0.00106383787347611,0.00118881828020285,0.00131001804479739,0.00141617291817219,0.00148597191978345,0.00148740520408455,0.00139002334499111,0.00112831839641636,0.000660803354885672,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623282310721647,0.000623287131617083
0.337,0.000211754022147299,0.000285226694428419,0.00039208211549918,0.00048824881012606,0.000588502707585633,0.000698410736645802,0.000817315586521235,0.00093349424630478,0.00106409161921486,0.00118812715575931,0.00130785497106466,0.00141184268478005,0.00147858666632358,0.00147588432615397,0.00137324553415702,0.00110528159748277,0.00063148690898046,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593578455143578,0.000593583077382297
0.339,0.000212979914213802,0.000286628371401794,0.000393355155218381,0.000489573943182099,0.000589856441913346,0.000699706204506803,0.000818434659859272,0.00093430157254639,0.00106429190010397,0.00118736148367788,0.00130559126781074,0.00140738144367449,0.00147103812721474,0.00146417132849751,0.00135625969311285,0.00108204747155467,0.000602022544321824,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563731369395426,0.000563735796863955
0.341,0.000214203434365394,0.000288023916356628,0.000394625179460327,0.000490892800024639,0.000591199098106027,0.000700984308936153,0.000819527743946595,0.000935070467048688,0.00106443769934731,0.00118652002750418,0.00130322551409882,0.00140278769242517,0.0014633249181889,0.00145226525967365,0.00133906570340865,0.00105861712905179,0.000572412683446882,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.000533743554516089,0.00053374779123897
0.343,0.000215424525376608,0.000289413316506678,0.000395891953744024,0.000492205085121752,0.000592530308906534,0.000702244572027475,0.000820594210832744,0.000935800116097814,0.00106452798610567,0.00118560153717441,0.00130075627845689,0.00139805992478127,0.00145544566200059,0.001440165189346,0.00132166348146464,0.00103499172203477,0.000542659782647993,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503617544184104,0.000503621594321514
0.345,0.000216643125433055,0.000290796551912466,0.000397155240217346,0.000493510498864859,0.000593849700953191,0.000703486507449925,0.000821633421702459,0.0009364896929962,0.00106456171538571,0.00118460474900461,0.00129818211901734,0.00139319663099755,0.0014473989889269,0.00142787020885833,0.00130405297901424,0.00101117244425283,0.000512766331486087,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473355904200184,0.000473359772044319
